CH1;CH2;PPG
124.49846;112.342896;589.8198
124.30262;112.356514;589.82263
124.23436;112.36243;589.82794
124.40078;112.37004;589.8177
124.599686;112.3585;589.816
124.638176;112.34624;589.8169
124.58836;112.34748;589.8152
124.55175;112.35427;589.81213
124.53603;112.35291;589.80695
124.51191;112.35132;589.80475
124.47877;112.349144;589.80115
124.46892;112.34674;589.8035
124.534225;112.34748;589.80396
124.559326;112.352776;589.80396
124.533745;112.37488;589.7949
124.51608;112.38462;589.79126
124.521774;112.357285;589.787
124.50718;112.328285;589.7812
124.48595;112.325165;589.7794
124.45533;112.33384;589.7791
124.449844;112.33799;589.77905
124.47443;112.33375;589.77606
124.486374;112.338295;589.7752
124.49548;112.350624;589.7718
124.50621;112.364265;589.7693
124.506256;112.36977;589.7686
124.50079;112.373085;589.7645
124.51334;112.368576;589.774
124.537155;112.36989;589.7799
124.570206;112.36899;589.77716
124.582146;112.36558;589.7598
124.58429;112.37745;589.7556
124.50866;112.377945;589.7508
124.428825;112.37321;589.7479
124.45948;112.36822;589.7422
124.539604;112.365524;589.73706
124.50616;112.36853;589.7374
124.45676;112.37607;589.7353
124.44198;112.38675;589.7374
124.51605;112.40151;589.7364
124.54807;112.4056;589.7264
124.58054;112.39886;589.72455
124.626274;112.38312;589.7228
124.61218;112.380714;589.7165
124.5534;112.38031;589.7167
124.46859;112.37995;589.7195
124.444;112.393234;589.7181
124.51752;112.41362;589.7113
124.5759;112.4252;589.71375
124.58763;112.42327;589.7049
124.56469;112.41879;589.6969
124.55544;112.41025;589.69977
124.557014;112.4109;589.71045
124.56772;112.41471;589.70233
124.5691;112.415;589.6877
124.54447;112.418816;589.69006
124.53995;112.43198;589.68945
124.52869;112.42769;589.6844
124.531265;112.41815;589.6806
124.53189;112.3923;589.68243
124.511116;112.37866;589.6791
124.51171;112.39326;589.6834
124.493095;112.40494;589.68274
124.42455;112.41936;589.67505
124.46079;112.43789;589.6707
124.55246;112.47999;589.66815
124.66358;112.56017;589.66046
124.76396;112.646454;589.65424
124.79172;112.753624;589.649
124.72744;112.90941;589.64795
124.73034;113.092445;589.6467
124.82898;113.26554;589.6424
124.88196;113.41932;589.64465
124.85735;113.55752;589.6383
124.82474;113.7043;589.63275
124.85704;113.86611;589.6268
124.89863;113.97531;589.6267
124.890755;114.02625;589.62524
124.85532;114.06342;589.6207
124.82896;114.085526;589.62006
124.8084;114.08327;589.62054
124.78826;113.964836;589.61945
124.75154;113.68274;589.61633
124.728226;113.3748;589.6134
124.69132;113.07525;589.6155
124.617294;112.8063;589.6146
124.55873;112.59812;589.6105
124.53627;112.4447;589.60144
124.581055;112.40179;589.59973
124.62198;112.41488;589.5978
124.63851;112.42345;589.5937
124.65558;112.425964;589.59204
124.70052;112.440254;589.5883
124.735565;112.46559;589.5826
124.68886;112.507484;589.57947
124.63315;112.55943;589.57623
124.60003;112.58387;589.57355
124.58579;112.60735;589.5714
